age,experience_years,education_years,hours_per_week,salary
58,35,13,34,112093.47
48,30,10,41,118193.18
34,16,13,45,112136.67
27,9,10,55,84545.83
40,20,14,55,109400.73
58,35,13,45,132827.3
38,20,17,50,107915.82
42,21,17,36,117334.82
30,8,16,33,71445.58
30,12,12,30,63432.15
43,23,10,59,94683.46
55,31,10,59,127290.09
59,36,12,34,137606.92
43,23,15,52,116874.85
22,4,16,55,76326.31
41,18,15,39,102584.41
21,0,15,51,69862.12
43,25,15,34,117761.9
49,29,12,33,125765.04
57,38,15,31,124456.1
21,0,17,49,46604.03
40,16,11,39,84484.63
52,32,14,55,122306.59
31,8,10,48,83319.58
41,23,10,55,101256.66
44,23,14,30,83242.21
46,28,12,53,114757.99
47,24,13,34,89580.26
35,17,12,42,108901.58
34,15,10,33,86216.42
22,1,10,45,65975.58
56,35,14,53,142860.27
26,3,15,45,79401.71
40,16,12,52,107333.42
28,9,18,31,75102.55
58,38,14,46,125800.38
37,19,17,57,103530.66
23,1,10,56,64547.5
44,26,14,49,91856.58
33,15,12,53,105927.26
28,8,10,41,52532.53
45,27,13,47,122990.93
21,2,14,32,59319.29
39,20,16,57,115351.75
47,26,10,30,97280.8
26,3,12,30,61172.06
27,3,11,58,66781.22
54,32,18,48,129438.19
33,15,19,40,89527.64
36,18,15,34,110758.3
55,35,19,41,142669.09
59,36,12,32,128094.97
23,4,17,30,59744.38
21,0,17,30,58151.52
25,4,11,37,53127.71
23,4,15,39,65088.36
48,25,16,40,101908.78
37,13,11,41,98891.44
45,24,19,58,117930.94
53,29,11,42,106749.21
29,9,19,41,73743.9
55,35,10,43,118787.95
33,15,17,31,86051.07
50,26,10,58,115505.2
34,11,18,48,86546.78
27,5,15,47,59993.89
33,12,16,32,68854.25
42,23,19,52,127296.6
59,36,16,46,137772.11
40,17,19,55,116488.93
35,15,12,37,94302.75
37,13,11,58,93010.8
43,25,18,55,112182.69
45,27,17,39,120895.85
44,23,19,55,135995.97
48,28,16,59,125025.72
34,11,18,31,87906.15
20,0,13,48,63362.22
44,24,13,38,120223.78
26,5,10,36,56222.14
28,7,17,33,87535.32
43,23,12,55,107749.89
20,0,16,50,62058.54
27,7,11,47,75098.6
43,24,11,42,108924.57
30,10,16,40,103115.3
36,12,15,58,98695.38
27,7,12,53,80432.78
54,33,18,33,145461.43
54,30,19,54,141510.54
52,31,15,50,123057.25
24,6,19,58,103059.7
58,40,19,54,148103.81
47,23,15,33,98507.53
26,7,10,39,60014.79
28,10,13,34,67137.55
27,7,19,38,84831.73
31,10,15,53,86420.98
53,35,15,32,93718.31
52,34,14,46,129317.37
42,23,10,32,91820.88
43,19,17,45,114928.25
56,32,14,33,115867.41
54,31,14,47,151892.58
59,40,16,46,160967.94
41,21,13,36,95600.9
46,22,15,53,124496.23
54,33,13,52,136752.12
20,1,12,59,71834.66
54,36,16,34,141026.52
56,35,17,41,136540.71
33,12,13,46,88903.51
22,4,11,52,78733.53
20,1,19,42,92024.53
24,6,12,52,78511.95
45,22,10,54,101462.03
33,12,17,32,65207.69
58,36,12,38,148613.03
46,24,19,59,123367.58
28,8,16,46,88348.09
34,10,19,46,110559.07
34,16,14,59,104776.02
45,27,19,49,125053.3
32,12,14,45,101696.73
51,31,16,54,137607.37
58,38,18,51,154361.06
51,30,14,42,106768.39
23,0,10,56,75059.15
49,31,19,48,138255.88
56,35,19,46,127784.11
42,22,10,33,100350.94
58,40,11,41,116374.74
34,13,15,58,120919.75
48,25,18,38,104981.45
55,34,17,48,153617.93
32,9,14,41,71370.44
51,31,10,38,121602.26
26,3,16,36,58878.72
41,23,14,57,125471.15
47,27,15,43,115646.81
21,3,16,49,79177.8
25,3,12,48,68150.64
47,28,19,55,118343.35
47,24,12,44,113041.07
39,20,14,45,98467.63
49,30,15,50,137953.13
30,7,18,34,75641.4
47,27,14,32,110232.36
44,22,10,41,116329.26
58,40,13,54,170316.37
